Product Name,Category,Price,City
Сальса из Черного трюфеля Tartuffi 190 гр,Бакалея,9 500 Т,Astana
"Кокосовое Молоко Aroy-D, 500 мл",Бакалея,2 200 Т,Astana
"Бальзамический Крем с Малиной, Giuseppe Giusti, 150 мл.",Бакалея,5 500 Т,Astana
Соус Терияки SEN SOY,Бакалея,2 500 Т,Astana
Бальзамический Крем Соус с Черным Трюфелем 150 мл.,Бакалея,5 500 Т,Astana
"Соль морская с Трюфелем Carmencita, 360 гр",Бакалея,5 500 Т,Astana
Соус Терияки SEN SOY сладкий,Бакалея,2 500 Т,Astana
Цитрусовая заправка SEN SOY,Бакалея,590 Т,Astana
Carmencita Соль морская и Прованские травы 308 г,Бакалея,4 600 Т,Astana
Трюфель черный целый в рассоле Tartuffi 50 гр,Бакалея,9 500 Т,Astana
Бальзамический Крем с Инжиром 150 мл.,Бакалея,5 500 Т,Astana
Соус Хрен-васаби Sen Soy,Бакалея,2 500 Т,Astana
Приправа для паэльи Paellero с шафраном Carmencita 20 гр,Бакалея,1 600 Т,Astana
Carmencita Соль Розовая Гималайская Йодированная 370 гр,Бакалея,3 800 Т,Astana
Бобы соевые зеленые Эдамамэ очищенные 250 гр,Бакалея,1 800 Т,Astana
Ломтики черного трюфеля в рассоле Truffle slices Organic 90 гр,Бакалея,12 500 Т,Astana
MoleCola классик 330 мл,Бакалея,1 100 Т,Astana
Бальзамический Крем с грибами 150 мл.,Бакалея,5 500 Т,Astana
Трюфель Черный целый в рассоле 100 гр,Бакалея,17 500 Т,Astana
Carmencita Приправа Иберийский микс 66 гр мельница,Бакалея,2 500 Т,Astana
Черный перец Горошек 190 гр Carmencita,Бакалея,5 890 Т,Astana
MoleCola классик 750 мл,Бакалея,1 950 Т,Astana
Tartuffi Трюфельная паста соус 90 гр органик,Бакалея,9 800 Т,Astana
"Замороженное пюре Клубника Ravifruit, Франция, 1 кг",Бакалея,8 500 Т,Astana
Carmencita 4 перца горошком микс 40 гр мельница,Бакалея,2 500 Т,Astana
Рисовая Мука AROY-D,Бакалея,1 500 Т,Astana
Carmencita Соль Средиземноморская с шафраном 360 г мельница,Бакалея,5 500 Т,Astana
Приправа для паэльи Valenciana Carmencita 12 гр,Бакалея,1 600 Т,Astana
Приправа для Паэльи Carmencita 65 гр,Бакалея,1 600 Т,Astana
MoleCola без сахара 330 мл,Бакалея,1 100 Т,Astana
"Замороженное пюре Кокос Ravifruit, Франция, 1 кг",Бакалея,8 500 Т,Astana
"Соус Паста Том Ям Aroy-D, 1 кг",Бакалея,7 200 Т,Astana
"Чеснок сушеный измельченный, Carmencita 55 г",Бакалея,750 Т,Astana
"Кокосовое Масло Aroy-D, 180 мл",Бакалея,2 700 Т,Astana
Перец Каенский Чили цельный Carmencita 18 гр,Бакалея,750 Т,Astana
Le Bonta Паста Orecchiette пять вкусов 500 гр,Бакалея,3 000 Т,Astana
Бальзамический Уксус Giuseppe Giusti 250 мл.,Бакалея,7 000 Т,Astana
Смесь специй Чимичурри Carmencita 27 гр,Бакалея,1 100 Т,Astana
Приправа для макарон и пиццы Carmencita 68 г,Бакалея,2 400 Т,Astana
English Tea Черный чай Птичка в мятной упаковке 40 шт,Бакалея,5 500 Т,Astana
Перец Кайенский Чили молотый Carmencita 43 гр,Бакалея,1 100 Т,Astana
Бальзамический уксус Giuseppe Giusti Modena 100 мл.,Бакалея,4 600 Т,Astana
"Замороженное пюре Гуава Ravifruit, Франция, 1 кг",Бакалея,8 800 Т,Astana
Соус Шрирача Uni Eagie 475 gr,Бакалея,3 500 Т,Astana
Le Bonta Паста Orecchiette три цвета 500 гр,Бакалея,3 000 Т,Astana
"Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 100 мл.",Бакалея,9 500 Т,Astana
Tartuffi Измельченный черный трюфель 90 гр,Бакалея,9 500 Т,Astana
Семена Кунжута Carmencita 55 г,Бакалея,750 Т,Astana
"Бальзамический Уксус Giuseppe Giusti ""Quatro Centenfrio"" 4 звезды, 100 мл.",Бакалея,13 500 Т,Astana
Тимьян сушеный Carmencita 22 гр,Бакалея,1 100 Т,Astana
Приправа паприка сладкая Carmencita 75 гр,Бакалея,1 800 Т,Astana
Le Bonta Соус для пасты Alla Puttanesca 314 мл,Бакалея,2 900 Т,Astana
Соль Гималайская с перцем горошком Carmencita 97 г,Бакалея,2 400 Т,Astana
Carmencita Приправа паприка пикантная 75 гр,Бакалея,1 700 Т,Astana
Пюре из красного апельсина Ravifruit 10% сахара 1 кг,Бакалея,8 500 Т,Astana
English Tea Черный чай в кремовой винтажной  упаковке 40 шт,Бакалея,5 500 Т,Astana
"Бальзамический Уксус Giuseppe Giusti IGP  3 медали, куб 250 мл.",Бакалея,14 500 Т,Astana
"Бальзамический Уксус Giuseppe Giusti ""Бианка"", 250 мл.",Бакалея,7 500 Т,Astana
Корица Молотая Carmencita 43 г,Бакалея,1 600 Т,Astana
"Бальзамический Уксус Giuseppe Giusti  2 медали, 250 мл.",Бакалея,9 500 Т,Astana
"Бальзамический Уксус Giuseppe Giusti IGP  3 медали, 250 мл.",Бакалея,13 500 Т,Astana
Соль Средиземноморская с шафраном Carmencita 110 г,Бакалея,2 600 Т,Astana
Alicos Паста Бузиата из пшеницы твердых сортов 500 гр,Бакалея,2 800 Т,Astana
English Tea Черный чай в мятной винтажной  упаковке 40 шт,Бакалея,5 500 Т,Astana
Carmencita Приправа Орегано листовой 12 гр мельница,Бакалея,2 500 Т,Astana
"Кардамон целый, Carmencita 30 г",Бакалея,2 800 Т,Astana
Пюре из лайма Ravifruit 10% сахара 1 кг,Бакалея,8 500 Т,Astana
Barbera Бальзамический уксус Модена  250 мл,Бакалея,2 500 Т,Astana
Plaza Del Sol Соус Алиоли 180 гр,Бакалея,2 600 Т,Astana
English Tea Черный чай Винни Пух упаковка 80  шт,Бакалея,8 000 Т,Astana
Carmencita Приправа Куркума молотая 48 гр,Бакалея,1 500 Т,Astana
Перец Белый горошком Carmencita 55 гр,Бакалея,2 500 Т,Astana
"Carmencita Черный перец горошек и морская соль, мельница 225 г",Бакалея,4 600 Т,Astana
Plaza Del Sol Соус Сальса Брава пикантный 185 гр,Бакалея,1 700 Т,Astana
Pesce Azzurro соус с чернилами каракатицы 200 гр ст/б,Бакалея,6 500 Т,Astana
"Бальзамический Уксус Giuseppe Giusti  2 медали, 100 мл.",Бакалея,6 500 Т,Astana
Эстрагон (Tarragon) сушеный Carmencita,Бакалея,1 600 Т,Astana
"Замороженное пюре Малина Ravifruit, Франция, 1 кг",Бакалея,9 800 Т,Astana
Tartuffi Измельченный черный трюфель 45 гр,Бакалея,6 800 Т,Astana
"Пюре из желтого персика Ravifruit Франция 10% сахара, 1 кг",Бакалея,8 800 Т,Astana
English Tea Черный чай в розовой винтажной упаковке 40 шт,Бакалея,5 500 Т,Astana
English Tea Черный чай Винни Пух упаковка 72 шт,Бакалея,7 500 Т,Astana
Le Bonta Паста Лингвини со вкусом грибов 250 гр,Бакалея,3 000 Т,Astana
English Tea Черный чай в мятной винтажной  упаковке 80 шт,Бакалея,8 000 Т,Astana
English Tea Черный чай в розовой винтажной упаковке 80 шт,Бакалея,8 000 Т,Astana
English Tea Черный чай в кремовой винтажной  упаковке 80 шт,Бакалея,8 000 Т,Astana
Barbera Бальзамический белый винный уксус 250 мл,Бакалея,2 500 Т,Astana
Barbera Бальзамический красный винный уксус 250 мл,Бакалея,2 500 Т,Astana
Набор черный перец горошек  Carmencita 35 гр,Бакалея,1 490 Т,Astana
Carmencita Соль Средиземноморская с горчицей и перцем 99 г,Бакалея,2 400 Т,Astana
English Tea Черный чай в зеленой винтажной упаковке 40 шт,Бакалея,5 500 Т,Astana
English Tea Черный чай в мятной винтажной  упаковке 72 шт,Бакалея,7 500 Т,Astana
Carmencita Перец зеленый 30 гр мельница,Бакалея,2 400 Т,Astana
Соль Гималайская черная 100 г мельница Carmencita,Бакалея,2 400 Т,Astana
Шафрановый порошок в саше Carmencita,Бакалея,2 400 Т,Astana
Aroy-D Соус Чили сладкий для курицы 350 г ст/б,Бакалея,2 200 Т,Astana
English Tea Черный чай Кролик Питер упаковка 80 шт,Бакалея,8 000 Т,Astana
"Бальзамический Уксус Giuseppe Giusti ""Quatro Centenfrio"" IGP, 250 мл.",Бакалея,20 000 Т,Astana
Пюре из мандарина Ravifruit 10% сахара 1 кг,Бакалея,8 500 Т,Astana
Бальзамический Уксус Giuseppe Giusti 250 мл. (куб),Бакалея,9 500 Т,Astana
Семена Тмина Carmencita 42 гр,Бакалея,2 500 Т,Astana
Семена Тмина молотые Carmencita 47 гр,Бакалея,1 500 Т,Astana
Приправа для овощного карри Carmencita 68 г,Бакалея,2 400 Т,Astana
Tartuffi Ломтики черного трюфеля в рассоле 45 гр,Бакалея,7 500 Т,Astana
Carmencita Корица цейлонская палочки 80 гр,Бакалея,4 600 Т,Astana
Le Bonta Паста Лингвини со вкусом апельсина 250 гр,Бакалея,3 000 Т,Astana
Umami Итальянский Бальзамический Уксус Гранатовый 250 мл,Бакалея,5 590 Т,Astana
Carmencita Корица цейлонская палочки 170 гр,Бакалея,8 600 Т,Astana
Tartuffi Тальяттеле с белым трюфелем 250 гр,Бакалея,4 200 Т,Astana
Le Bonta Соус для пасты с овощами 314 мл,Бакалея,2 900 Т,Astana
Carmencita Корица цейлонская 5 палочек,Бакалея,1 600 Т,Astana
"Замороженное пюре Ревеня Ravifruit, Франция, 1 кг",Бакалея,8 800 Т,Astana
Esoro Маракуйя мякоть с косточкой 1 кг,Бакалея,5 000 Т,Astana
Resfood Соус Лемонграсс CTM Chang 285 гр,Бакалея,2 300 Т,Astana
Tartuffi Странгоцци с трюфелем 250 гр,Бакалея,4 200 Т,Astana
English Tea Черный чай Кролик Питер упаковка 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай Beatrix Potter упаковка 80 шт,Бакалея,8 000 Т,Astana
"Carmencita Перец Черный горошек и морская соль, мельница 65 г",Бакалея,2 400 Т,Astana
Tartuffi Ломтики черного трюфеля в рассоле 90 гр,Бакалея,13 500 Т,Astana
English Tea Черный чай Beatrix Potter упаковка 240 шт,Бакалея,13 800 Т,Astana
Umami Итальянский Бальзамический Уксус с Томатами 250 мл,Бакалея,5 590 Т,Astana
Umami Итальянский Хумус с Черным Чесноком 130 гр,Бакалея,4 990 Т,Astana
Соус Табаско 59 мл,Бакалея,2 800 Т,Astana
Tartuffi Рис Карнароли с трюфелем 350 гр,Бакалея,5 500 Т,Astana
Plaza Del Sol Соус томатный по-домашнему FRITO 290 гр,Бакалея,2 200 Т,Astana
English Tea Черный чай Винни Пух упаковка 240 шт,Бакалея,13 800 Т,Astana
"Замороженное пюре Черная смородина Ravifruit, 1 кг",Бакалея,8 500 Т,Astana
Carmencita Сахарозаменитель 60 саше,Бакалея,1 200 Т,Astana
English Tea Черный чай Птичка в мятной упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай в мятной винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай в зеленой винтажной упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай в красной винтажной  упаковке 40 шт,Бакалея,5 500 Т,Astana
English Tea Черный чай Птичка в синей упаковке 40 шт,Бакалея,5 500 Т,Astana
Пюре из абрикоса Ravifruit Франция 10% сахара 1 кг,Бакалея,8 000 Т,Astana
Le Bonta Паста Лингвини со вкусом лимона 250 гр,Бакалея,3 000 Т,Astana
English Tea Черный чай в голубой винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
Umami Итальянский Кремовый Соус из Черного Чеснока 90 гр,Бакалея,5 990 Т,Astana
English Tea Черный чай в красной винтажной  упаковке 80 шт,Бакалея,8 000 Т,Astana
English Tea Черный чай Ландыш в винтажной упаковке 40 шт,Бакалея,5 500 Т,Astana
Carmencita Приправа Семена Тмина 42 гр мельница Цельное зерно,Бакалея,1 500 Т,Astana
Уксус красный Pearl River Bridge 500 мл,Бакалея,500 Т,Astana
Грибы сушеные Шиитаке Namura 250 гр,Бакалея,2 800 Т,Astana
English Tea Черный чай в кремовой винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай Птичка в голубой упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай в красной винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
Umami Итальянский Черный Чеснок Зубчики 35 гр,Бакалея,4 390 Т,Astana
English Tea Черный чай Птичка в розовой упаковке 40 шт,Бакалея,5 500 Т,Astana
Carmencita Ваниль стручки 10 шт,Бакалея,22 000 Т,Astana
Устричный соус высшей категории 148 гр,Бакалея,1 300 Т,Astana
Umami Итальянский Кетчуп с Черным Чесноком 130 гр,Бакалея,4 990 Т,Astana
Umami Итальянский Кремовый Соус из Черного Чеснока 190 гр,Бакалея,10 590 Т,Astana
Umami Итальянский Черный Чеснок Целый 60 гр,Бакалея,4 890 Т,Astana
English Tea Черный чай Harry Potter упаковка 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай Harry Potter упаковка 80 шт,Бакалея,8 000 Т,Astana
English Tea Черный чай Union Jack упаковка 100 шт,Бакалея,8 900 Т,Astana
English Tea Черный чай Union Jack упаковка 40 шт,Бакалея,5 500 Т,Astana
English Tea Черный чай в темно зеленой винтажной упаковке 80 шт,Бакалея,8 000 Т,Astana
Carmencita Соль Средиземноморская Йодированная 360 гр,Бакалея,3 500 Т,Astana
СэнСой папричи-соус столовый остро-сладкий 320 гр,Бакалея,1 990 Т,Astana
Сэнсой Соус Тонкацу 350 г,Бакалея,2 500 Т,Astana
Umami Итальянский Черный Чеснок Целый 180 гр,Бакалея,12 800 Т,Astana
English Tea Черный чай без кофеина в голубой винтажной  упаковке 80 шт,Бакалея,8 000 Т,Astana
English Tea Черный чай в лиловой винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай в лиловой винтажной  упаковке 80 шт,Бакалея,8 000 Т,Astana
English Tea Черный чай в розовой винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
English Tea Черный чай в фиолетовой винтажной  упаковке 240 шт,Бакалея,13 800 Т,Astana
"Джем инжирный Le Bonta, 314 мл","Снэки, сладости",3 500 Т,Astana
Миндальная паста Alicos 190 гр,"Снэки, сладости",3 500 Т,Astana
Bonne Maman Джем клубничный 370 мл,"Снэки, сладости",2 600 Т,Astana
Bonne Maman Джем абрикосовый 370 мл,"Снэки, сладости",2 600 Т,Astana
Bonne Maman Паста арахисовая 325 мл,"Снэки, сладости",2 600 Т,Astana
Джем из красного Сицилийского апельсина Alicos 110 гр,"Снэки, сладости",2 500 Т,Astana
Bonne Maman Джем черничный 370 мл,"Снэки, сладости",2 600 Т,Astana
Bonne Maman Мармелад апельсиновый 370 мл,"Снэки, сладости",2 600 Т,Astana
Plaza Del Sol Картофельные чипсы с черным трюфелем 115 гр,"Снэки, сладости",1 600 Т,Astana
Bonne Maman Паста шоколадная с фундуком 250 гр,"Снэки, сладости",2 600 Т,Astana
Картофельные Чипсы Белый трюфель 150 гр,"Снэки, сладости",4 500 Т,Astana
Bonne Maman Джем малиновый 370 мл,"Снэки, сладости",2 600 Т,Astana
Картофельные чипсы с Чили перцем ж/б 40 гр,"Снэки, сладости",1 200 Т,Astana
Plaza Del Sol Картофельные чипсы с сыром 115 гр,"Снэки, сладости",1 600 Т,Astana
Plaza Del Sol Картофельные чипсы с хамоном 115 гр,"Снэки, сладости",1 600 Т,Astana
Джем грушевый Le Bonta 314 мл,"Снэки, сладости",3 000 Т,Astana
Deseo Кантучини Тосканские с миндалем 250 гр,"Снэки, сладости",3 900 Т,Astana
"Джем из Сицилийского Лимона, 110 гр","Снэки, сладости",2 500 Т,Astana
Картофельные Чипсы Белый Трюфель и Белый Гриб 150 гр,"Снэки, сладости",4 500 Т,Astana
Bonne Maman Джем фруктовое ассорти 370 мл,"Снэки, сладости",2 600 Т,Astana
Джем из Красного сицилийского апельсина 220 гр,"Снэки, сладости",3 500 Т,Astana
Deseo Кантучини апельсин в глазури 180 гр,"Снэки, сладости",3 600 Т,Astana
Кантучини Тосканские с Миндалем Deseo 180 гр,"Снэки, сладости",3 600 Т,Astana
Кантучини Фисташки и Шоколад Deseo 180 гр,"Снэки, сладости",3 600 Т,Astana
Картофельные Чипсы Белый Трюфель и Белый Гриб 125 гр,"Снэки, сладости",3 000 Т,Astana
Картофельные чипсы с Морской солью и Бальзамиком ж/б 40 гр,"Снэки, сладости",1 200 Т,Astana
Plaza Del Sol Крутоны с помидорами и орегано 150 гр,"Снэки, сладости",1 200 Т,Astana
Печенье деревенское из цельнозерновой муки Deseo 300 гр,"Снэки, сладости",3 800 Т,Astana
Deseo Печенье песочное на слив. масле классическое 160 гр,"Снэки, сладости",3 600 Т,Astana
Deseo Кантучини шоколад-фундук 250 гр,"Снэки, сладости",3 900 Т,Astana
Deseo Печенье песочное на слив. масле и кусочком темного шоколада 160 гр,"Снэки, сладости",3 600 Т,Astana
Кантучини с Шоколадом и Фундуком Deseo 180 гр,"Снэки, сладости",3 600 Т,Astana
Печенье Biscotti кокосовое Deseo 115 гр,"Снэки, сладости",3 600 Т,Astana
Hunters Gourmet Гороховые чипсы 50 гр,"Снэки, сладости",2 200 Т,Astana
Deseo Печенье песочное на слив. масле перец чили изюм и кедровые орехи 160 гр,"Снэки, сладости",3 600 Т,Astana
Hunters Gourmet Картофельные чипсы Фуа-гра 150 гр,"Снэки, сладости",2 990 Т,Astana
Plaza Del Sol Картофельные чипсы FERIA 130 гр,"Снэки, сладости",1 600 Т,Astana
Plaza Del Sol Картофельные чипсы TAPAS 140 гр,"Снэки, сладости",1 600 Т,Astana
"Джем из Сицилийского лимона, 220 гр","Снэки, сладости",3 500 Т,Astana
Hunters Gourmet Картофельные чипсы Четыре сыра 125 гр,"Снэки, сладости",3 000 Т,Astana
Deseo Печенье песочное на слив. масле с ароматом розы 160 гр,"Снэки, сладости",3 600 Т,Astana
Plaza Del Sol Крутоны с чесноком и петрушкой 150 гр,"Снэки, сладости",1 200 Т,Astana
Печенье Biscotti хрустящее лимонное Deseo 115 гр,"Снэки, сладости",3 600 Т,Astana
Deseo Печенье хрустящее с какао и апельсином 115 гр,"Снэки, сладости",3 600 Т,Astana
Чипсы из Киноа с солью и бальзамиком 75 гр,"Снэки, сладости",1 700 Т,Astana
Plaza Del Sol Крутоны с луком 150 гр,"Снэки, сладости",1 200 Т,Astana
Plaza Del Sol Коктейль Локомикс (смесь орехов и изюма) 175 гр,"Снэки, сладости",1 800 Т,Astana
Bonne Maman Джем клубничный 30 мл,"Снэки, сладости",450 Т,Astana
Печенье деревенское  из Цельнозерновой муки с Какао Deseo 300 гр,"Снэки, сладости",3 800 Т,Astana
Deseo Печенье на оливковом масле с сыром пармезан 80 гр,"Снэки, сладости",2 800 Т,Astana
Топпинг Соус Соленая Карамель Scuyavuru 500 гр,"Снэки, сладости",5 800 Т,Astana
Plaza Del Sol Миндаль очищенный 150 гр,"Снэки, сладости",1 590 Т,Astana
Hunters Gourmet Картофельные чипсы Песто Пармезан 125 гр,"Снэки, сладости",3 000 Т,Astana
Печенье на оливковом масле Какао и Фисташки Deseo 200 гр,"Снэки, сладости",3 800 Т,Astana
Bonne Maman Джем черничный 30 мл,"Снэки, сладости",450 Т,Astana
Deseo Кантучини апельсин 250 гр,"Снэки, сладости",3 900 Т,Astana
Plaza Del Sol Миндаль жареный 150 гр,"Снэки, сладости",1 590 Т,Astana
Bonne Maman Мармелад апельсиновый 30 мл,"Снэки, сладости",450 Т,Astana
Кантучини на оливковом масле с миндалем Deseo 200 гр,"Снэки, сладости",3 600 Т,Astana
Deseo Печенье на оливковом масле с трюфелем 70 гр,"Снэки, сладости",2 800 Т,Astana
Plaza Del Sol Батончик мягкий с миндалем и медом 150 гр,"Снэки, сладости",2 500 Т,Astana
Alicos Конфитюр из Индийского инжира 220 гр,"Снэки, сладости",3 500 Т,Astana
Plaza Del Sol Батончик хрустящий с миндалем и медом 150 гр,"Снэки, сладости",2 500 Т,Astana
Alicos Джем из Сицилийского мандарина 220 гр,"Снэки, сладости",3 500 Т,Astana
Plaza Del Sol Кукурузные орешки 175 гр,"Снэки, сладости",1 200 Т,Astana
Plaza Del Sol Кейк миндально-медовый 150 гр,"Снэки, сладости",2 800 Т,Astana
Deseo Печенье деревенское из муки 300 гр,"Снэки, сладости",3 800 Т,Astana
Джем Вишневый Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Мармелад Апельсиновый Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Крем Арахисовый соленый Scuyavuru 200 гр,"Снэки, сладости",1 990 Т,Astana
Крем Капучино Scuyavuru 200 гр,"Снэки, сладости",2 800 Т,Astana
Мармелад Лимонный Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Alicos Джем из Сицилийского мандарина 110 гр,"Снэки, сладости",2 500 Т,Astana
Deseo Печенье на оливковом масле с томатами и орегано 80 гр,"Снэки, сладости",2 500 Т,Astana
Джем Грушевый Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Джем Апельсиновый Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Топпинг Сироп Шоколадный Scuyavuru 600 гр,"Снэки, сладости",3 800 Т,Astana
Deseo Печенье на оливковом масле с песто Genovese 80 гр,"Снэки, сладости",2 500 Т,Astana
Джем из Белого Персика Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Джем Клубничный Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Deseo Кантучини фисташка 180 гр,"Снэки, сладости",3 600 Т,Astana
Джем Клубничный Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Джем Черной Смородины Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Bonne Maman Паста шоколадная с фундуком 25 гр,"Снэки, сладости",450 Т,Astana
Джем Персиковый Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Deseo Кантучини темный шоколад 180 гр,"Снэки, сладости",3 600 Т,Astana
Scuyavuru Джем Абрикосовый Органический 250 гр,"Снэки, сладости",2 800 Т,Astana
Мармелад Мандариновый Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Кленовый сироп Uncle Luke 375 мл,"Снэки, сладости",14 200 Т,Astana
Кленовый сироп кленовый лист 250 мл,"Снэки, сладости",16 800 Т,Astana
Кленовый сироп темный 250 мл,"Снэки, сладости",15 800 Т,Astana
Hunters Gourmet Бретцель с Морской солью 180 гр,"Снэки, сладости",2 500 Т,Astana
Hunters Gourmet Киноа белая Органик 300 гр,"Снэки, сладости",3 800 Т,Astana
Hunters Gourmet Мака порошок Органик 150 гр,"Снэки, сладости",2 990 Т,Astana
Hunters Gourmet Семена чиа Органик 300 гр,"Снэки, сладости",4 000 Т,Astana
Джем Абрикосовый Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Джем Лимонный Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Кленовый сироп Uncle Luke 250 мл,"Снэки, сладости",12 800 Т,Astana
Кленовый сироп 250 мл,"Снэки, сладости",12 800 Т,Astana
Hunters Gourmet Ростки пшеницы порошок (wheat grass) Органик 250гр,"Снэки, сладости",6 800 Т,Astana
Джем Ежевичный Органический Scuyavuru 250 гр,"Снэки, сладости",2 800 Т,Astana
Кленовый сироп Uncle Luke в кувшине 1 л,"Снэки, сладости",22 800 Т,Astana
Кленовый сироп кленовый лист 50 мл,"Снэки, сладости",11 100 Т,Astana
Кленовый сироп кленовый лист 100 мл,"Снэки, сладости",15 800 Т,Astana
Кленовый сироп в кувшине 500 мл,"Снэки, сладости",18 900 Т,Astana
Оливковое Масло Barbera Oro Del Cuoco 1 л,Масло,9 800 Т,Astana
Оливковое Масло Barbera Non Filtrato уп. 1л,Масло,10 800 Т,Astana
Масло Оливковое Barbera Filtrato 1литр,Масло,10 800 Т,Astana
Масло Оливковое BARBERA Selezione Unica 750 мл.,Масло,8 800 Т,Astana
"Оливковое Масло Lorenzo #5, бутылка 500 мл",Масло,12 800 Т,Astana
Оливковое Масло Barbera Selezione Unica 1 литр,Масло,9 800 Т,Astana
"Оливковое Масло Lorenzo #1, бутылка 500 мл",Масло,12 800 Т,Astana
"Оливковое Масло Lorenzo #3, бутылка 500 мл",Масло,12 800 Т,Astana
Barbera Масло оливковое с белым трюфелем 250 мл,Масло,4 800 Т,Astana
Barbera Масло оливковое Mediterraneo extra virgin 750 мл,Масло,6 990 Т,Astana
Barbera Масло оливковое Mediterraneo extra virgin 1000 мл,Масло,9 800 Т,Astana
Barbera Масло оливковое с цитрусами Сицилии 250 мл,Масло,4 800 Т,Astana
Оливковое масло Harmony Hualdo ж/б 3 л,Масло,32 000 Т,Astana
Barbera Масло оливковое NON FILTRATO (нефильтр) 750 мл,Масло,8 800 Т,Astana
Barbera Масло оливковое с черным трюфелем 250 мл,Масло,4 800 Т,Astana
Масло оливковое OLIA Barbera 500 мл,Масло,11 500 Т,Astana
Оливковое масло Sensation Hualdo ж/б 3 л,Масло,32 000 Т,Astana
Barbera Масло оливковое FILTRATO (фильтрованное) 750 мл,Масло,8 800 Т,Astana
Barbera Масло оливковое с ароматическими травами 250 мл,Масло,4 800 Т,Astana
Barbera Масло оливковое CONTADINO 1л,Масло,13 500 Т,Astana
Масло оливковое Frantoia со вкусом базилика 250 мл,Масло,4 800 Т,Astana
Оливковое масло Hualdo Cornicabra 500 мл,Масло,6 800 Т,Astana
Оливковое масло Hualdo Arbequina 500 ml,Масло,6 800 Т,Astana
Оливковое масло Hualdo Manzanilla 500 ml,Масло,6 800 Т,Astana
Barbera Масло оливковое CONTADINO 500 мл,Масло,8 500 Т,Astana
Масло оливковое Frantoia со вкусом мандарина 250 мл,Масло,4 800 Т,Astana
Масло оливковое Frantoia со вкусом апельсина 250 мл,Масло,4 800 Т,Astana
Barbera Масло оливковое с перцем и чесноком 250 мл,Масло,4 800 Т,Astana
Оливковое Масло BARBERA Selezione Unica 250 мл,Масло,4 800 Т,Astana
"Оливковое Масло Casitas De Hualdo, 250 мл",Масло,4 800 Т,Astana
Масло оливковое Frantoia со вкусом лимона 250 мл,Масло,4 800 Т,Astana
Оливковое масло Hualdo Picual 500 ml,Масло,7 800 Т,Astana
Масло оливковое PARTIDA REAL(партида реал) Hualdo  500 мл,Масло,6 800 Т,Astana
"Кокосовое Масло Aroy-D, 180 мл",Масло,2 700 Т,Astana
Масло оливковое Frantoia со вкусом Шалфея 250 мл,Масло,4 800 Т,Astana
Оливковое Масло Hualdo Cornicabra 250 мл,Масло,4 800 Т,Astana
Оливковое Масло Hualdo Picual 250 мл,Масло,4 800 Т,Astana
Оливковое масло Hualdo Arbequina 250 мл,Масло,4 800 Т,Astana
Muraglia Масло оливковое в керам/б Осьминог 500 мл,Масло,17 800 Т,Astana
Оливковое Масло Hualdo Manzanilla 250 мл,Масло,4 800 Т,Astana
Muraglia Масло оливковое в керам/б Омар 500 мл,Масло,17 800 Т,Astana
Muraglia Масло оливковое в ж/б Радужная 250 мл,Масло,4 500 Т,Astana
Muraglia Масло оливковое в керам/б Кактус  500 мл,Масло,17 800 Т,Astana
Muraglia Масло оливковое в керам/б Радужная 500 мл,Масло,17 800 Т,Astana
Muraglia Масло оливковое Сардины в керам/б 500 мл,Масло,17 800 Т,Astana
Barbera Масло оливковое FILTRATO (фильтрованное) 750 мл KF,Масло,9 500 Т,Astana
Barbera Масло оливковое NON FILTRATO (нефильтр) 750 мл KF,Масло,8 800 Т,Astana
Сыр творожный «Профичиз» 200 гр,Сыры,1 500 Т,Astana
Vega Mancha Сыр Манчего выдержанный с белым трюфелем кусковой 150 гр +/-,Сыры,30 000 Т,Astana
